2024-11-19 18:22:54 INFO  TransportClientFactory:267 - Successfully created connection to cssmpi8h/10.158.82.68:58240 after 30 ms (0 ms spent in bootstraps)
2024-11-19 18:22:54 INFO  StandaloneSchedulerBackend:54 - Connected to Spark cluster with app ID app-20241119182254-0002
2024-11-19 18:22:54 INFO  StandaloneAppClient$ClientEndpoint:54 - Executor added: app-20241119182254-0002/0 on worker-20241119181229-10.158.82.68-42957 (10.158.82.68:42957) with 1 core(s)
2024-11-19 18:22:54 INFO  StandaloneSchedulerBackend:54 - Granted executor ID app-20241119182254-0002/0 on hostPort 10.158.82.68:42957 with 1 core(s), 1024.0 MB RAM
2024-11-19 18:22:54 INFO  Utils:54 - Successfully started service 'org.apache.spark.network.netty.NettyBlockTransferService' on port 34382.
2024-11-19 18:22:54 INFO  NettyBlockTransferService:54 - Server created on cssmpi8h.uwb.edu:34382
2024-11-19 18:22:54 INFO  BlockManager:54 - Using org.apache.spark.storage.RandomBlockReplicationPolicy for block replication policy
2024-11-19 18:22:54 INFO  StandaloneAppClient$ClientEndpoint:54 - Executor updated: app-20241119182254-0002/0 is now RUNNING
2024-11-19 18:22:54 INFO  BlockManagerMaster:54 - Registering BlockManager BlockManagerId(driver, cssmpi8h.uwb.edu, 34382, None)
2024-11-19 18:22:54 INFO  BlockManagerMasterEndpoint:54 - Registering block manager cssmpi8h.uwb.edu:34382 with 366.3 MB RAM, BlockManagerId(driver, cssmpi8h.uwb.edu, 34382, None)
2024-11-19 18:22:54 INFO  BlockManagerMaster:54 - Registered BlockManager BlockManagerId(driver, cssmpi8h.uwb.edu, 34382, None)
2024-11-19 18:22:54 INFO  BlockManager:54 - Initialized BlockManager: BlockManagerId(driver, cssmpi8h.uwb.edu, 34382, None)
2024-11-19 18:22:54 INFO  ContextHandler:781 - Started o.s.j.s.ServletContextHandler@7c974942{/metrics/json,null,AVAILABLE,@Spark}
2024-11-19 18:22:54 INFO  StandaloneSchedulerBackend:54 - SchedulerBackend is ready for scheduling beginning after reached minRegisteredResourcesRatio: 0.0
2024-11-19 18:22:56 INFO  MemoryStore:54 - Block broadcast_0 stored as values in memory (estimated size 236.7 KB, free 366.1 MB)
2024-11-19 18:22:56 INFO  MemoryStore:54 - Block broadcast_0_piece0 stored as bytes in memory (estimated size 22.9 KB, free 366.0 MB)
2024-11-19 18:22:56 INFO  BlockManagerInfo:54 - Added broadcast_0_piece0 in memory on cssmpi8h.uwb.edu:34382 (size: 22.9 KB, free: 366.3 MB)
2024-11-19 18:22:56 INFO  SparkContext:54 - Created broadcast 0 from textFile at ShortestPath.java:31
2024-11-19 18:22:56 INFO  FileInputFormat:249 - Total input paths to process : 1
2024-11-19 18:22:56 INFO  SparkContext:54 - Starting job: count at ShortestPath.java:21
2024-11-19 18:22:56 INFO  DAGScheduler:54 - Got job 0 (count at ShortestPath.java:21) with 2 output partitions
2024-11-19 18:22:56 INFO  DAGScheduler:54 - Final stage: ResultStage 0 (count at ShortestPath.java:21)
2024-11-19 18:22:56 INFO  DAGScheduler:54 - Parents of final stage: List()
2024-11-19 18:22:56 INFO  DAGScheduler:54 - Missing parents: List()
2024-11-19 18:22:56 INFO  DAGScheduler:54 - Submitting ResultStage 0 (MapPartitionsRDD[3] at filter at ShortestPath.java:21), which has no missing parents
2024-11-19 18:22:56 INFO  MemoryStore:54 - Block broadcast_1 stored as values in memory (estimated size 4.2 KB, free 366.0 MB)
2024-11-19 18:22:56 INFO  MemoryStore:54 - Block broadcast_1_piece0 stored as bytes in memory (estimated size 2.5 KB, free 366.0 MB)
2024-11-19 18:22:56 INFO  BlockManagerInfo:54 - Added broadcast_1_piece0 in memory on cssmpi8h.uwb.edu:34382 (size: 2.5 KB, free: 366.3 MB)
2024-11-19 18:22:56 INFO  SparkContext:54 - Created broadcast 1 from broadcast at DAGScheduler.scala:1039
2024-11-19 18:22:56 INFO  DAGScheduler:54 - Submitting 2 missing tasks from ResultStage 0 (MapPartitionsRDD[3] at filter at ShortestPath.java:21) (first 15 tasks are for partitions Vector(0, 1))
2024-11-19 18:22:56 INFO  TaskSchedulerImpl:54 - Adding task set 0.0 with 2 tasks
2024-11-19 18:22:57 INFO  CoarseGrainedSchedulerBackend$DriverEndpoint:54 - Registered executor NettyRpcEndpointRef(spark-client://Executor) (10.158.82.68:38930) with ID 0
2024-11-19 18:22:57 INFO  TaskSetManager:54 - Starting task 0.0 in stage 0.0 (TID 0, 10.158.82.68, executor 0, partition 0, PROCESS_LOCAL, 7891 bytes)
2024-11-19 18:22:57 INFO  BlockManagerMasterEndpoint:54 - Registering block manager 10.158.82.68:41061 with 366.3 MB RAM, BlockManagerId(0, 10.158.82.68, 41061, None)
2024-11-19 18:22:57 INFO  BlockManagerInfo:54 - Added broadcast_1_piece0 in memory on 10.158.82.68:41061 (size: 2.5 KB, free: 366.3 MB)
2024-11-19 18:22:57 INFO  BlockManagerInfo:54 - Added broadcast_0_piece0 in memory on 10.158.82.68:41061 (size: 22.9 KB, free: 366.3 MB)
2024-11-19 18:22:58 INFO  TaskSetManager:54 - Starting task 1.0 in stage 0.0 (TID 1, 10.158.82.68, executor 0, partition 1, PROCESS_LOCAL, 7891 bytes)
2024-11-19 18:22:58 INFO  TaskSetManager:54 - Finished task 0.0 in stage 0.0 (TID 0) in 1467 ms on 10.158.82.68 (executor 0) (1/2)
2024-11-19 18:22:58 INFO  TaskSetManager:54 - Finished task 1.0 in stage 0.0 (TID 1) in 359 ms on 10.158.82.68 (executor 0) (2/2)
2024-11-19 18:22:58 INFO  TaskSchedulerImpl:54 - Removed TaskSet 0.0, whose tasks have all completed, from pool 
2024-11-19 18:22:58 INFO  DAGScheduler:54 - ResultStage 0 (count at ShortestPath.java:21) finished in 2.509 s
2024-11-19 18:22:58 INFO  DAGScheduler:54 - Job 0 finished: count at ShortestPath.java:21, took 2.560920 s
2024-11-19 18:22:58 INFO  SparkContext:54 - Starting job: count at ShortestPath.java:21
2024-11-19 18:22:58 INFO  DAGScheduler:54 - Registering RDD 4 (flatMapToPair at ShortestPath.java:66)
2024-11-19 18:22:58 INFO  DAGScheduler:54 - Got job 1 (count at ShortestPath.java:21) with 2 output partitions
2024-11-19 18:22:58 INFO  DAGScheduler:54 - Final stage: ResultStage 2 (count at ShortestPath.java:21)
2024-11-19 18:22:58 INFO  DAGScheduler:54 - Parents of final stage: List(ShuffleMapStage 1)
2024-11-19 18:22:58 INFO  DAGScheduler:54 - Missing parents: List(ShuffleMapStage 1)
2024-11-19 18:22:58 INFO  DAGScheduler:54 - Submitting ShuffleMapStage 1 (MapPartitionsRDD[4] at flatMapToPair at ShortestPath.java:66), which has no missing parents
2024-11-19 18:22:58 INFO  MemoryStore:54 - Block broadcast_2 stored as values in memory (estimated size 4.7 KB, free 366.0 MB)
2024-11-19 18:22:58 INFO  MemoryStore:54 - Block broadcast_2_piece0 stored as bytes in memory (estimated size 2.7 KB, free 366.0 MB)
2024-11-19 18:22:58 INFO  BlockManagerInfo:54 - Added broadcast_2_piece0 in memory on cssmpi8h.uwb.edu:34382 (size: 2.7 KB, free: 366.3 MB)
2024-11-19 18:22:58 INFO  SparkContext:54 - Created broadcast 2 from broadcast at DAGScheduler.scala:1039
2024-11-19 18:22:58 INFO  DAGScheduler:54 - Submitting 2 missing tasks from ShuffleMapStage 1 (MapPartitionsRDD[4] at flatMapToPair at ShortestPath.java:66) (first 15 tasks are for partitions Vector(0, 1))
2024-11-19 18:22:58 INFO  TaskSchedulerImpl:54 - Adding task set 1.0 with 2 tasks
2024-11-19 18:22:58 INFO  TaskSetManager:54 - Starting task 0.0 in stage 1.0 (TID 2, 10.158.82.68, executor 0, partition 0, PROCESS_LOCAL, 7880 bytes)
2024-11-19 18:22:58 INFO  BlockManagerInfo:54 - Added broadcast_2_piece0 in memory on 10.158.82.68:41061 (size: 2.7 KB, free: 366.3 MB)
2024-11-19 18:23:01 INFO  TaskSetManager:54 - Starting task 1.0 in stage 1.0 (TID 3, 10.158.82.68, executor 0, partition 1, PROCESS_LOCAL, 7880 bytes)
2024-11-19 18:23:01 INFO  TaskSetManager:54 - Finished task 0.0 in stage 1.0 (TID 2) in 2148 ms on 10.158.82.68 (executor 0) (1/2)
2024-11-19 18:23:04 INFO  TaskSetManager:54 - Finished task 1.0 in stage 1.0 (TID 3) in 3625 ms on 10.158.82.68 (executor 0) (2/2)
2024-11-19 18:23:04 INFO  TaskSchedulerImpl:54 - Removed TaskSet 1.0, whose tasks have all completed, from pool 
2024-11-19 18:23:04 INFO  DAGScheduler:54 - ShuffleMapStage 1 (flatMapToPair at ShortestPath.java:66) finished in 5.793 s
2024-11-19 18:23:04 INFO  DAGScheduler:54 - looking for newly runnable stages
2024-11-19 18:23:04 INFO  DAGScheduler:54 - running: Set()
2024-11-19 18:23:04 INFO  DAGScheduler:54 - waiting: Set(ResultStage 2)
2024-11-19 18:23:04 INFO  DAGScheduler:54 - failed: Set()
2024-11-19 18:23:04 INFO  DAGScheduler:54 - Submitting ResultStage 2 (MapPartitionsRDD[7] at filter at ShortestPath.java:21), which has no missing parents
2024-11-19 18:23:04 INFO  MemoryStore:54 - Block broadcast_3 stored as values in memory (estimated size 4.3 KB, free 366.0 MB)
2024-11-19 18:23:04 INFO  MemoryStore:54 - Block broadcast_3_piece0 stored as bytes in memory (estimated size 2.4 KB, free 366.0 MB)
2024-11-19 18:23:04 INFO  BlockManagerInfo:54 - Added broadcast_3_piece0 in memory on cssmpi8h.uwb.edu:34382 (size: 2.4 KB, free: 366.3 MB)
2024-11-19 18:23:04 INFO  SparkContext:54 - Created broadcast 3 from broadcast at DAGScheduler.scala:1039
2024-11-19 18:23:04 INFO  DAGScheduler:54 - Submitting 2 missing tasks from ResultStage 2 (MapPartitionsRDD[7] at filter at ShortestPath.java:21) (first 15 tasks are for partitions Vector(0, 1))
2024-11-19 18:23:04 INFO  TaskSchedulerImpl:54 - Adding task set 2.0 with 2 tasks
2024-11-19 18:23:04 INFO  TaskSetManager:54 - Starting task 0.0 in stage 2.0 (TID 4, 10.158.82.68, executor 0, partition 0, NODE_LOCAL, 7653 bytes)
2024-11-19 18:23:04 INFO  BlockManagerInfo:54 - Added broadcast_3_piece0 in memory on 10.158.82.68:41061 (size: 2.4 KB, free: 366.3 MB)
2024-11-19 18:23:04 INFO  MapOutputTrackerMasterEndpoint:54 - Asked to send map output locations for shuffle 0 to 10.158.82.68:38930
2024-11-19 18:23:07 INFO  TaskSetManager:54 - Starting task 1.0 in stage 2.0 (TID 5, 10.158.82.68, executor 0, partition 1, NODE_LOCAL, 7653 bytes)
2024-11-19 18:23:07 INFO  TaskSetManager:54 - Finished task 0.0 in stage 2.0 (TID 4) in 2913 ms on 10.158.82.68 (executor 0) (1/2)
2024-11-19 18:23:09 INFO  TaskSetManager:54 - Finished task 1.0 in stage 2.0 (TID 5) in 2289 ms on 10.158.82.68 (executor 0) (2/2)
2024-11-19 18:23:09 INFO  TaskSchedulerImpl:54 - Removed TaskSet 2.0, whose tasks have all completed, from pool 
2024-11-19 18:23:09 INFO  DAGScheduler:54 - ResultStage 2 (count at ShortestPath.java:21) finished in 5.214 s
2024-11-19 18:23:09 INFO  DAGScheduler:54 - Job 1 finished: count at ShortestPath.java:21, took 11.025825 s
2024-11-19 18:23:09 INFO  SparkContext:54 - Starting job: count at ShortestPath.java:21
2024-11-19 18:23:09 INFO  DAGScheduler:54 - Registering RDD 8 (flatMapToPair at ShortestPath.java:66)
2024-11-19 18:23:09 INFO  DAGScheduler:54 - Got job 2 (count at ShortestPath.java:21) with 2 output partitions
2024-11-19 18:23:09 INFO  DAGScheduler:54 - Final stage: ResultStage 5 (count at ShortestPath.java:21)
2024-11-19 18:23:09 INFO  DAGScheduler:54 - Parents of final stage: List(ShuffleMapStage 4)
2024-11-19 18:23:09 INFO  DAGScheduler:54 - Missing parents: List(ShuffleMapStage 4)
2024-11-19 18:23:09 INFO  DAGScheduler:54 - Submitting ShuffleMapStage 4 (MapPartitionsRDD[8] at flatMapToPair at ShortestPath.java:66), which has no missing parents
2024-11-19 18:23:09 INFO  MemoryStore:54 - Block broadcast_4 stored as values in memory (estimated size 3.8 KB, free 366.0 MB)
2024-11-19 18:23:09 INFO  MemoryStore:54 - Block broadcast_4_piece0 stored as bytes in memory (estimated size 2.1 KB, free 366.0 MB)
2024-11-19 18:23:09 INFO  BlockManagerInfo:54 - Added broadcast_4_piece0 in memory on cssmpi8h.uwb.edu:34382 (size: 2.1 KB, free: 366.3 MB)
2024-11-19 18:23:09 INFO  SparkContext:54 - Created broadcast 4 from broadcast at DAGScheduler.scala:1039
2024-11-19 18:23:09 INFO  DAGScheduler:54 - Submitting 2 missing tasks from ShuffleMapStage 4 (MapPartitionsRDD[8] at flatMapToPair at ShortestPath.java:66) (first 15 tasks are for partitions Vector(0, 1))
2024-11-19 18:23:09 INFO  TaskSchedulerImpl:54 - Adding task set 4.0 with 2 tasks
2024-11-19 18:23:09 INFO  TaskSetManager:54 - Starting task 0.0 in stage 4.0 (TID 6, 10.158.82.68, executor 0, partition 0, NODE_LOCAL, 7642 bytes)
